t,traj_0,traj_1,traj_2,traj_3,traj_4
0,66.8578408385019,34.47929429061505,63.59690941969424,13.34322820037106,92.63745600194196
1,68.62024657805048,35.876835017280335,60.14729461105095,16.122070009233422,89.38703260080426
2,70.74471391058441,36.62639832602356,58.60462665793804,17.60605029870829,87.6502422751921
3,72.98622023952484,37.168568383735064,57.721677620413686,18.67355053838906,86.40008719423845
4,75.16430270154996,37.671497354623234,57.02325802183624,19.659335365235734,85.24517144815555
5,77.15080983446643,38.20042260613283,56.322408931591056,20.692742297797153,84.03428719745918
6,78.86934203713957,38.780875105415404,55.539062468455285,21.823783244139324,82.70900772489641
7,80.29015975485791,39.42200898505062,54.63217075762553,23.069709725032972,81.24923827786387
8,81.41855623668201,40.12502300984724,53.57467689934967,24.43184088544686,79.65354531962723
9,82.28050813035378,40.88608626474361,52.34472205260643,25.901431042725726,77.9322816101939
10,82.90962421016758,41.697347861470504,50.923275199331925,27.46173105317539,76.10518351798366
11,83.33725550623605,42.54742136731835,49.2945281837153,29.088979021265335,74.2001949139868
12,83.5857780259517,43.421946742507124,47.44773593691714,30.75353037795572,72.25213458832087
13,83.671244973918,44.30710441264899,45.38204254046376,32.42733195513952,70.29390826623614
14,83.60491149863957,45.19298165590018,43.11133362559424,34.091014685658834,68.34820519991857
15,83.38587953830434,46.07239635754359,40.66470054443289,35.73129636783809,66.43055705321152
16,82.9982693457305,46.94012401878837,38.08559761949191,37.33919471562469,64.55142258707812
17,82.41020672084018,47.79254792064396,35.42933364414458,38.90922787678976,62.717151763531696
18,81.5734061533073,48.62747792137588,32.75859806260304,40.438939065371834,60.930525845743425
19,80.42415281538027,49.443974491029145,30.137581468402548,41.92852274991668,59.19122683084618
20,78.88798591226634,50.24217274595179,27.625824513370155,43.380401144199844,57.496311930402946
21,76.89121401676883,51.02309705659641,25.2729622389966,44.79887416384429,55.84065776488788
22,74.38184466559903,51.78847565532164,23.11534978245337,46.18973048922888,54.21738941517366
23,71.35816007074261,52.54055838643437,21.174873966711857,47.55989536134436,52.61831956934806
24,67.89540997849073,53.281938645886115,19.45978699805672,48.91708702069588,51.034311954562014
25,64.15384106944221,54.01537741579649,17.96696148206473,50.269494753821654,49.45572048384614
26,60.355130529612396,54.74366081621037,16.684822767375813,51.62548935123593,47.872676972990575
27,56.73166374310304,55.46943461375679,15.596367704310012,52.99329899318607,46.27549747754175
28,53.472151193865244,56.195055488924794,14.681809350651417,54.38069377845609,44.65503815315378
29,50.68861000617876,56.92246534643739,13.92066903391762,55.79469618230963,43.003056163604285
30,48.41371522184645,57.65304467735439,13.2932647442056,57.24121804853785,41.31262106545583
31,46.620001117115585,58.387486869446334,12.78166745848641,58.724706224553856,39.578526192717355
32,45.246177771012164,59.125693465839475,12.370245965633643,60.247788196487065,37.797727803660706
33,44.21976201317778,59.86667780296906,12.045921995968481,61.8108874736149,35.96978170380481
34,43.47194265496228,60.60849169163079,11.798257664853773,63.41188218802694,34.09725715440945
35,42.94526367400764,61.348217037672434,11.619467406172749,65.04579394495167,32.1860801136651
36,42.596553056800985,62.08197003164803,11.50443731279453,66.70460631878045,30.245780572256315
37,42.39757221486814,62.80501217465424,11.450812785917842,68.37717842260271,28.289549339587943
38,42.33535468137213,63.51187387312933,11.45922609416522,70.04941344761232,26.33406137552567
39,42.413806920281736,64.19659953362407,11.533731328307411,71.70463031410611,24.399012667172812
40,42.654194426807145,64.85233697668983,11.68226507469188,73.32234500193047,22.50853105111417
41,43.08719136243274,65.47021460955222,11.916802990713625,74.8750380510984,20.694902651775603
42,43.7567492499312,66.04187407207671,12.254666109235762,76.33515110791379,18.99037321226649
43,44.72104137208754,66.56084234852003,12.714069239527625,77.67924423032741,17.422338931972618
44,46.045395430904684,67.02316859496896,13.309395103941924,78.89043754856712,16.010467404884174
45,47.786855487364235,67.42788290647556,14.051617153410795,79.96038187973484,14.764375062941244
46,49.96912960393747,67.77665904989382,14.94624042511765,80.88882225395946,13.684151502189726
47,52.55427466906407,68.07314621403438,15.989438387385963,81.68195573556595,12.762341006599172
48,55.42547760064076,68.32222953569766,17.163686109466205,82.35037869953672,11.986331986272695
49,58.395282683323,68.52944773773972,18.433855956498018,82.9073236500301,11.340482359704698
