x1,x2,t
36.148056477513016,49.57485488091036,0
38.212352639784086,46.080960436919554,1
40.894339113429155,42.02316937376853,2
44.060611612414185,37.61787876219857,3
47.57776585070529,33.08148567295101,4
51.31239754226849,28.630387176767158,5
55.131102401069874,24.48098034438832,6
58.90047614107549,20.849662246555823,7
62.487114476251385,17.95282995401098,8
65.75761312056359,16.00688053749508,9
68.5785677879782,15.22755543073262,10
70.81657419246126,15.722357373351471,11
72.33822804797882,17.37089070897929,12
73.01012506849693,20.023926440375302,13
72.69886238581363,23.53223557029874,14
71.33419566184028,27.746589101508814,15
69.07746459121975,32.51775803676477,16
66.14307415471025,37.69651337882581,17
62.745429333070106,43.13362613045116,18
59.09893510705753,48.67986729440007,19
55.41799645743081,54.18600787343172,20
51.917018364948206,59.50281887030538,21
48.810405810367975,64.48107128778022,22
46.312563774448385,68.97153612861555,23
44.63789723794772,72.82498439557055,24
44.00079667401444,75.89218709140438,25
44.53453752331085,78.02391521887635,26
46.10095337030345,79.07093978074565,27
48.50516428038192,78.88404918095395,28
51.55229031893597,77.3851565458258,29
55.04745155135531,74.72929323046147,30
58.795768043029646,71.11917748649553,31
62.6023598593487,66.75752756556282,32
66.27234706570216,61.84706171929797,33
69.61084972747976,56.59049819933572,34
72.42298791007117,51.19055525731082,35
74.51388167886611,45.84995114485788,36
75.68865109925433,40.771404113611666,37
75.80036320475477,36.15763241520689,38
74.9288939959422,32.21135430127828,39
73.22111906346503,29.135288023460483,40
70.82392389739647,27.132151833388257,41
67.88419398780974,26.404663982696302,42
64.54881482477806,27.15451504127432,43
60.96467189837467,29.398282698237175,44
57.27865069867278,32.75456570843843,45
53.63763671574556,36.79036893421999,46
50.18851543966631,41.072697237923855,47
47.0781723605082,45.16855548189196,48
44.45349296834447,48.64494852846629,49
